h,method,sinr_mae,sinr_mse,corr,pred_std,true_std,pred_mean,true_mean
1,Last SINR,1.7678245306015015,5.724105358123779,-0.02578612044453621,1.670089602470398,1.6706336736679077,7.158164024353027,7.156768321990967
2,Last SINR,1.783852219581604,5.8180389404296875,-0.03494687005877495,1.670089602470398,1.6829521656036377,7.158164024353027,7.150169372558594
3,Last SINR,1.7796828746795654,5.4073052406311035,0.0379156693816185,1.670089602470398,1.6825817823410034,7.158164024353027,7.147367477416992
4,Last SINR,1.7652695178985596,5.4917216300964355,0.02293110080063343,1.670089602470398,1.6826512813568115,7.158164024353027,7.148758888244629
5,Last SINR,1.7487125396728516,5.4983439445495605,0.020380429923534393,1.670089602470398,1.6803200244903564,7.158164024353027,7.1510467529296875
6,Last SINR,1.8060194253921509,5.8565802574157715,-0.03853178396821022,1.670089602470398,1.6881868839263916,7.158164024353027,7.146717548370361
7,Last SINR,1.7228970527648926,5.484079360961914,0.027244582772254944,1.670089602470398,1.687690258026123,7.158164024353027,7.145357608795166
8,Last SINR,1.7814565896987915,5.696564197540283,-0.010339008644223213,1.670089602470398,1.6878702640533447,7.158164024353027,7.145156383514404
9,Last SINR,1.7473684549331665,5.449306488037109,0.03343741595745087,1.670089602470398,1.6877397298812866,7.158164024353027,7.146273136138916
10,Last SINR,1.8110706806182861,5.795328617095947,-0.028048837557435036,1.670089602470398,1.6875640153884888,7.158164024353027,7.14605712890625
1,History Mean,1.2858167886734009,2.9705209732055664,-0.0035424306988716125,0.41779330372810364,1.6706336736679077,7.153684616088867,7.156768321990967
2,History Mean,1.2992497682571411,3.0372352600097656,-0.02157699689269066,0.41779330372810364,1.6829521656036377,7.153684616088867,7.150169372558594
3,History Mean,1.2966101169586182,3.035456657409668,-0.02118302881717682,0.41779330372810364,1.6825817823410034,7.153684616088867,7.147367477416992
4,History Mean,1.2986035346984863,3.05426025390625,-0.03440195322036743,0.41779330372810364,1.6826512813568115,7.153684616088867,7.148758888244629
5,History Mean,1.302285075187683,3.0672318935394287,-0.04928332567214966,0.41779330372810364,1.6803200244903564,7.153684616088867,7.1510467529296875
6,History Mean,1.3040529489517212,3.0936896800994873,-0.04899587482213974,0.41779330372810364,1.6881868839263916,7.153684616088867,7.146717548370361
7,History Mean,1.3024613857269287,3.090056896209717,-0.04760820418596268,0.41779330372810364,1.687690258026123,7.153684616088867,7.145357608795166
8,History Mean,1.303090214729309,3.0906593799591064,-0.04759605601429939,0.41779330372810364,1.6878702640533447,7.153684616088867,7.145156383514404
9,History Mean,1.2999845743179321,3.0981805324554443,-0.05325990170240402,0.41779330372810364,1.6877397298812866,7.153684616088867,7.146273136138916
10,History Mean,1.3013933897018433,3.1063315868377686,-0.059466104954481125,0.41779330372810364,1.6875640153884888,7.153684616088867,7.14605712890625
1,Train Mean,1.2374287843704224,2.7930986881256104,,4.76837158203125e-07,1.6706336736679077,7.111151695251465,7.156768321990967
2,Train Mean,1.2437628507614136,2.8338510990142822,,4.76837158203125e-07,1.6829521656036377,7.111151695251465,7.150169372558594
3,Train Mean,1.2432295083999634,2.8323941230773926,,4.76837158203125e-07,1.6825817823410034,7.111151695251465,7.147367477416992
4,Train Mean,1.2434778213500977,2.832731008529663,,4.76837158203125e-07,1.6826512813568115,7.111151695251465,7.148758888244629
5,Train Mean,1.2411904335021973,2.825068473815918,,4.76837158203125e-07,1.6803200244903564,7.111151695251465,7.1510467529296875
6,Train Mean,1.2455189228057861,2.851240873336792,,4.76837158203125e-07,1.6881868839263916,7.111151695251465,7.146717548370361
7,Train Mean,1.24418306350708,2.8494696617126465,,4.76837158203125e-07,1.687690258026123,7.111151695251465,7.145357608795166
8,Train Mean,1.2443851232528687,2.8500635623931885,,4.76837158203125e-07,1.6878702640533447,7.111151695251465,7.145156383514404
9,Train Mean,1.2440513372421265,2.8496999740600586,,4.76837158203125e-07,1.6877397298812866,7.111151695251465,7.146273136138916
10,Train Mean,1.2438355684280396,2.8490920066833496,,4.76837158203125e-07,1.6875640153884888,7.111151695251465,7.14605712890625
1,LSTM,1.2081390619277954,2.820711374282837,0.01835152506828308,0.03604670614004135,1.6706336736679077,7.3317108154296875,7.156768321990967
2,LSTM,1.2109912633895874,2.884880304336548,0.00968264415860176,0.05641178414225578,1.6829521656036377,7.376463413238525,7.150169372558594
3,LSTM,1.212852954864502,2.8651480674743652,0.02193199098110199,0.044536832720041275,1.6825817823410034,7.335439682006836,7.147367477416992
4,LSTM,1.214768648147583,2.8523898124694824,0.03616451099514961,0.03522815182805061,1.6826512813568115,7.304076194763184,7.148758888244629
5,LSTM,1.2094990015029907,2.8565480709075928,0.03667622059583664,0.0801658183336258,1.6803200244903564,7.342165470123291,7.1510467529296875
6,LSTM,1.2140157222747803,2.891665458679199,0.019195392727851868,0.03253460302948952,1.6881868839263916,7.353454113006592,7.146717548370361
7,LSTM,1.2115225791931152,2.9004147052764893,0.030972998589277267,0.052852384746074677,1.687690258026123,7.379556655883789,7.145357608795166
8,LSTM,1.212640643119812,2.8898520469665527,0.03045678697526455,0.039545003324747086,1.6878702640533447,7.353600025177002,7.145156383514404
9,LSTM,1.2122355699539185,2.8959670066833496,0.02215518057346344,0.03541172295808792,1.6877397298812866,7.3673930168151855,7.146273136138916
10,LSTM,1.2141664028167725,2.87772536277771,0.03225862979888916,0.03330506011843681,1.6875640153884888,7.325972557067871,7.14605712890625
