config_id,val_mae,epochs_ran,hidden_dim,num_layers,dropout,lr,weight_decay,residual
0,1.23671293258667,77,16,1,0.0,0.001,0.0001,False
1,1.2370517253875732,65,32,1,0.0,0.001,0.0001,False
2,1.236617088317871,46,64,1,0.0,0.001,0.0001,False
3,1.236912727355957,44,32,2,0.1,0.001,0.0001,False
4,1.2364716529846191,42,64,2,0.1,0.001,0.0001,False
5,1.2373480796813965,41,32,1,0.0,0.0003,0.0001,False
6,1.2371618747711182,29,64,1,0.0,0.0003,0.0001,False
7,1.2367452383041382,85,32,1,0.0,0.001,0.0001,True
8,1.2376099824905396,67,64,1,0.0,0.001,0.0001,True
9,1.237444519996643,47,32,2,0.1,0.001,0.0001,True
10,1.237879753112793,46,64,2,0.1,0.001,0.0001,True
11,1.2366247177124023,91,64,1,0.0,0.0003,0.0001,True
