window,h,true,lstm,last_sinr
0,1,7.240207,7.3610935,7.1865463
0,2,8.737161,7.412845,7.1865463
0,3,6.5537634,7.369584,7.1865463
1,1,8.737161,7.356615,7.240207
1,2,6.5537634,7.4136686,7.240207
1,3,4.321047,7.368334,7.240207
2,1,6.5537634,7.339883,8.737161
2,2,4.321047,7.4163885,8.737161
2,3,6.1979494,7.3630505,8.737161
3,1,4.321047,7.355126,6.5537634
3,2,6.1979494,7.40243,6.5537634
3,3,8.425387,7.3601108,6.5537634
4,1,6.1979494,7.3824763,4.321047
4,2,8.425387,7.396612,4.321047
4,3,5.73828,7.3642063,4.321047
5,1,8.425387,7.373061,6.1979494
5,2,5.73828,7.4122777,6.1979494
5,3,6.403908,7.371629,6.1979494
6,1,5.73828,7.351273,8.425387
6,2,6.403908,7.4268594,8.425387
6,3,8.624588,7.3725624,8.425387
7,1,6.403908,7.371139,5.73828
7,2,8.624588,7.419096,5.73828
7,3,6.9389524,7.372732,5.73828
8,1,8.624588,7.372237,6.403908
8,2,6.9389524,7.421365,6.403908
8,3,7.371309,7.3754654,6.403908
9,1,6.9389524,7.3514605,8.624588
9,2,7.371309,7.428613,8.624588
9,3,8.800191,7.3730745,8.624588
10,1,7.371309,7.3589144,6.9389524
10,2,8.800191,7.418286,6.9389524
10,3,0.26303503,7.3693647,6.9389524
11,1,8.800191,7.3567133,7.371309
11,2,0.26303503,7.4144335,7.371309
11,3,7.9176416,7.3677564,7.371309
12,1,0.26303503,7.3390346,8.800191
12,2,7.9176416,7.4137025,8.800191
12,3,10.287617,7.3606606,8.800191
13,1,7.9176416,7.4145055,0.26303503
13,2,10.287617,7.387339,0.26303503
13,3,7.7977314,7.3557615,0.26303503
14,1,10.287617,7.368218,7.9176416
14,2,7.7977314,7.4188256,7.9176416
14,3,6.6123796,7.3699903,7.9176416
15,1,7.7977314,7.3276167,10.287617
15,2,6.6123796,7.4331527,10.287617
15,3,6.9413238,7.3628006,10.287617
16,1,6.6123796,7.3355465,7.7977314
16,2,6.9413238,7.4131207,7.7977314
16,3,8.666145,7.35434,7.7977314
17,1,6.9413238,7.3512692,6.6123796
17,2,8.666145,7.3953147,6.6123796
17,3,5.895788,7.353422,6.6123796
18,1,8.666145,7.351499,6.9413238
18,2,5.895788,7.393745,6.9413238
18,3,5.269019,7.3561087,6.9413238
19,1,5.895788,7.330702,8.666145
19,2,5.269019,7.398863,8.666145
19,3,6.760107,7.3517222,8.666145
20,1,5.269019,7.352995,5.895788
20,2,6.760107,7.3869696,5.895788
20,3,8.359557,7.351944,5.895788
21,1,6.760107,7.3669567,5.269019
21,2,8.359557,7.3914547,5.269019
21,3,7.667379,7.359183,5.269019
22,1,8.359557,7.3592324,6.760107
22,2,7.667379,7.408097,6.760107
22,3,8.980739,7.3666196,6.760107
23,1,7.667379,7.341918,8.359557
23,2,8.980739,7.4194255,8.359557
23,3,5.5354304,7.3660645,8.359557
24,1,8.980739,7.3430867,7.667379
24,2,5.5354304,7.4149914,7.667379
24,3,5.109353,7.3625507,7.667379
25,1,5.5354304,7.32885,8.980739
25,2,5.109353,7.4108944,8.980739
25,3,5.652489,7.353833,8.980739
26,1,5.109353,7.3603206,5.5354304
26,2,5.652489,7.389831,5.5354304
26,3,8.757663,7.3535137,5.5354304
27,1,5.652489,7.373472,5.109353
27,2,8.757663,7.393253,5.109353
27,3,7.6897645,7.3614345,5.109353
28,1,8.757663,7.3735194,5.652489
28,2,7.6897645,7.4075937,5.652489
28,3,6.2775574,7.3691096,5.652489
29,1,7.6897645,7.338506,8.757663
29,2,6.2775574,7.4206867,8.757663
29,3,7.2903924,7.364709,8.757663
30,1,6.2775574,7.343164,7.6897645
30,2,7.2903924,7.4192123,7.6897645
30,3,6.9406424,7.3640394,7.6897645
31,1,7.2903924,7.363405,6.2775574
31,2,6.9406424,7.411668,6.2775574
31,3,7.6349497,7.3672247,6.2775574
32,1,6.9406424,7.358496,7.2903924
32,2,7.6349497,7.4139175,7.2903924
32,3,6.2165794,7.3686748,7.2903924
33,1,7.6349497,7.3599095,6.9406424
33,2,6.2165794,7.413078,6.9406424
33,3,1.6952134,7.368773,6.9406424
34,1,6.2165794,7.353076,7.6349497
34,2,1.6952134,7.414676,7.6349497
34,3,9.031876,7.367567,7.6349497
35,1,1.6952134,7.3658953,6.2165794
35,2,9.031876,7.4096847,6.2165794
35,3,8.671584,7.368445,6.2165794
36,1,9.031876,7.4086366,1.6952134
36,2,8.671584,7.402481,1.6952134
36,3,6.1415167,7.3661427,1.6952134
37,1,8.671584,7.3596325,9.031876
37,2,6.1415167,7.429992,9.031876
37,3,7.8866496,7.372837,9.031876
38,1,6.1415167,7.342422,8.671584
38,2,7.8866496,7.432596,8.671584
38,3,7.7819176,7.3683047,8.671584
39,1,7.8866496,7.3643765,6.1415167
39,2,7.7819176,7.4166384,6.1415167
39,3,7.5748925,7.367989,6.1415167
40,1,7.7819176,7.3536043,7.8866496
40,2,7.5748925,7.417124,7.8866496
40,3,7.796405,7.367769,7.8866496
41,1,7.5748925,7.3492956,7.7819176
41,2,7.796405,7.41251,7.7819176
41,3,10.502633,7.3642173,7.7819176
42,1,7.796405,7.3478613,7.5748925
42,2,10.502633,7.405438,7.5748925
42,3,7.878216,7.360187,7.5748925
43,1,10.502633,7.3421564,7.796405
43,2,7.878216,7.399886,7.796405
43,3,8.290338,7.3554487,7.796405
44,1,7.878216,7.303594,10.502633
44,2,8.290338,7.39478,10.502633
44,3,5.8228965,7.3327665,10.502633
45,1,8.290338,7.309941,7.878216
45,2,5.8228965,7.3579464,7.878216
45,3,3.779205,7.3127604,7.878216
46,1,5.8228965,7.295247,8.290338
46,2,3.779205,7.3315854,8.290338
46,3,6.813749,7.2942963,8.290338
47,1,3.779205,7.3114834,5.8228965
47,2,6.813749,7.307013,5.8228965
47,3,6.9407887,7.291174,5.8228965
48,1,6.813749,7.3387756,3.779205
48,2,6.9407887,7.3171744,3.779205
48,3,4.898395,7.308147,3.779205
49,1,6.9407887,7.317577,6.813749
49,2,4.898395,7.3593316,6.813749
49,3,8.081932,7.327946,6.813749
50,1,4.898395,7.3183966,6.9407887
50,2,8.081932,7.3848133,6.9407887
50,3,9.635776,7.339397,6.9407887
51,1,8.081932,7.346826,4.898395
51,2,9.635776,7.393567,4.898395
51,3,7.8842783,7.3484163,4.898395
52,1,9.635776,7.3023386,8.081932
52,2,7.8842783,7.392001,8.081932
52,3,4.1600437,7.333369,8.081932
53,1,7.8842783,7.3070936,9.635776
53,2,4.1600437,7.4172263,9.635776
53,3,7.6180816,7.346808,9.635776
54,1,4.1600437,7.324308,7.8842783
54,2,7.6180816,7.4023695,7.8842783
54,3,8.185645,7.3440886,7.8842783
55,1,7.6180816,7.3661237,4.1600437
55,2,8.185645,7.3789306,4.1600437
55,3,7.8309665,7.3459415,4.1600437
56,1,8.185645,7.347648,7.6180816
56,2,7.8309665,7.400593,7.6180816
56,3,7.174304,7.3582273,7.6180816
57,1,7.8309665,7.336767,8.185645
57,2,7.174304,7.4098253,8.185645
57,3,5.1210203,7.359129,8.185645
58,1,7.174304,7.3369703,7.8309665
58,2,5.1210203,7.4061875,7.8309665
58,3,7.253433,7.356149,7.8309665
59,1,5.1210203,7.344649,7.174304
59,2,7.253433,7.399103,7.174304
59,3,7.2701397,7.3552947,7.174304
60,1,7.253433,7.3710876,5.1210203
60,2,7.2701397,7.394611,5.1210203
60,3,8.408089,7.361337,5.1210203
61,1,7.2701397,7.357625,7.253433
61,2,8.408089,7.408834,7.253433
61,3,-1.9378442,7.366966,7.253433
62,1,8.408089,7.354022,7.2701397
62,2,-1.9378442,7.4147253,7.2701397
62,3,8.545808,7.368083,7.2701397
63,1,-1.9378442,7.341156,8.408089
63,2,8.545808,7.4175215,8.408089
63,3,7.8702836,7.3641715,8.408089
64,1,8.545808,7.424892,-1.9378442
64,2,7.8702836,7.390403,-1.9378442
64,3,7.464988,7.350332,-1.9378442
65,1,7.8702836,7.366331,8.545808
65,2,7.464988,7.4247847,8.545808
65,3,3.7827961,7.3663907,8.545808
66,1,7.464988,7.3506193,7.8702836
66,2,3.7827961,7.4325976,7.8702836
66,3,7.741993,7.368982,7.8702836
67,1,3.7827961,7.350285,7.464988
67,2,7.741993,7.426578,7.464988
67,3,5.827923,7.3679695,7.464988
68,1,7.741993,7.3900876,3.7827961
68,2,5.827923,7.4122458,3.7827961
68,3,8.776787,7.3707166,3.7827961
69,1,5.827923,7.367318,7.741993
69,2,8.776787,7.4267764,7.741993
69,3,8.450462,7.3768983,7.741993
70,1,8.776787,7.377603,5.827923
70,2,8.450462,7.4243917,5.827923
70,3,1.637403,7.3778787,5.827923
71,1,8.450462,7.353046,8.776787
71,2,1.637403,7.432002,8.776787
