window,h,true,lstm,last_sinr
0,1,8.918681,7.313053,6.8269587
0,2,8.157641,7.2456713,6.8269587
0,3,5.9636693,7.31125,6.8269587
1,1,8.157641,7.2152815,8.918681
1,2,5.9636693,7.325874,8.918681
1,3,8.284743,7.2675505,8.918681
2,1,5.9636693,7.333779,8.157641
2,2,8.284743,7.281084,8.157641
2,3,3.2195458,7.2749424,8.157641
3,1,8.284743,7.266789,5.9636693
3,2,3.2195458,7.168675,5.9636693
3,3,6.5648336,7.179201,5.9636693
4,1,3.2195458,7.216155,8.284743
4,2,6.5648336,7.229223,8.284743
4,3,8.078137,7.215346,8.284743
5,1,6.5648336,7.514788,3.2195458
5,2,8.078137,7.3349667,3.2195458
5,3,7.668651,7.310743,3.2195458
6,1,8.078137,7.385366,6.5648336
6,2,7.668651,7.267522,6.5648336
6,3,7.6337686,7.3821783,6.5648336
7,1,7.668651,7.2099667,8.078137
7,2,7.6337686,7.258311,8.078137
7,3,6.081235,7.2300887,8.078137
8,1,7.6337686,7.2889533,7.668651
8,2,6.081235,7.245039,7.668651
8,3,7.1865463,7.2646527,7.668651
9,1,6.081235,7.2902775,7.6337686
9,2,7.1865463,7.2399697,7.6337686
9,3,7.240207,7.2498984,7.6337686
10,1,7.1865463,7.292453,6.081235
10,2,7.240207,7.2040286,6.081235
10,3,8.737161,7.2227035,6.081235
11,1,7.240207,7.2760215,7.1865463
11,2,8.737161,7.2450967,7.1865463
11,3,6.5537634,7.2681603,7.1865463
12,1,8.737161,7.2903976,7.240207
12,2,6.5537634,7.2574453,7.240207
12,3,4.321047,7.2732716,7.240207
13,1,6.5537634,7.2265134,8.737161
13,2,4.321047,7.302293,8.737161
13,3,6.1979494,7.237883,8.737161
14,1,4.321047,7.329287,6.5537634
14,2,6.1979494,7.2338834,6.5537634
14,3,8.425387,7.2473636,6.5537634
15,1,6.1979494,7.238642,4.321047
15,2,8.425387,7.0721946,4.321047
15,3,5.73828,7.137132,4.321047
16,1,8.425387,7.357783,6.1979494
16,2,5.73828,7.2556376,6.1979494
16,3,6.403908,7.3369875,6.1979494
17,1,5.73828,7.177667,8.425387
17,2,6.403908,7.2785144,8.425387
17,3,8.624588,7.20161,8.425387
18,1,6.403908,7.320618,5.73828
18,2,8.624588,7.1962934,5.73828
18,3,6.9389524,7.237829,5.73828
19,1,8.624588,7.2742453,6.403908
19,2,6.9389524,7.1824756,6.403908
19,3,7.371309,7.240058,6.403908
20,1,6.9389524,7.2035646,8.624588
20,2,7.371309,7.291654,8.624588
20,3,8.800191,7.2209687,8.624588
21,1,7.371309,7.3295107,6.9389524
21,2,8.800191,7.2462573,6.9389524
21,3,0.26303503,7.2715864,6.9389524
22,1,8.800191,7.266583,7.371309
22,2,0.26303503,7.2211657,7.371309
22,3,7.9176416,7.2348785,7.371309
23,1,0.26303503,7.238325,8.800191
23,2,7.9176416,7.300567,8.800191
23,3,10.287617,7.2545667,8.800191
24,1,7.9176416,7.448315,0.26303503
24,2,10.287617,7.351915,0.26303503
24,3,7.7977314,6.911648,0.26303503
25,1,10.287617,7.4636836,7.9176416
25,2,7.7977314,7.167375,7.9176416
25,3,6.6123796,7.365127,7.9176416
26,1,7.7977314,6.687403,10.287617
26,2,6.6123796,7.0979238,10.287617
26,3,6.9413238,6.906022,10.287617
27,1,6.6123796,7.2747316,7.7977314
27,2,6.9413238,7.1144595,7.7977314
27,3,8.666145,7.1980033,7.7977314
28,1,6.9413238,7.206305,6.6123796
28,2,8.666145,7.0649753,6.6123796
28,3,5.895788,7.1419983,6.6123796
29,1,8.666145,7.2852306,6.9413238
29,2,5.895788,7.2324443,6.9413238
29,3,5.269019,7.257947,6.9413238
30,1,5.895788,7.2172413,8.666145
30,2,5.269019,7.2797465,8.666145
30,3,6.760107,7.2340636,8.666145
31,1,5.269019,7.3186536,5.895788
31,2,6.760107,7.2141504,5.895788
31,3,8.359557,7.227786,5.895788
32,1,6.760107,7.2731566,5.269019
32,2,8.359557,7.1436353,5.269019
32,3,7.667379,7.2010174,5.269019
33,1,8.359557,7.3247437,6.760107
33,2,7.667379,7.2552557,6.760107
33,3,8.980739,7.316927,6.760107
34,1,7.667379,7.1777964,8.359557
34,2,8.980739,7.259186,8.359557
34,3,5.5354304,7.191251,8.359557
35,1,8.980739,7.3192463,7.667379
35,2,5.5354304,7.269482,7.667379
35,3,5.109353,7.270386,7.667379
36,1,5.5354304,7.26175,8.980739
36,2,5.109353,7.3222857,8.980739
36,3,5.652489,7.2893877,8.980739
37,1,5.109353,7.2741847,5.5354304
37,2,5.652489,7.1530066,5.5354304
37,3,8.757663,7.159364,5.5354304
38,1,5.652489,7.292121,5.109353
38,2,8.757663,7.156958,5.109353
38,3,7.6897645,7.218111,5.109353
39,1,8.757663,7.371021,5.652489
39,2,7.6897645,7.254469,5.652489
39,3,6.2775574,7.3333836,5.652489
40,1,7.6897645,7.1983967,8.757663
40,2,6.2775574,7.3324347,8.757663
40,3,7.2903924,7.251197,8.757663
41,1,6.2775574,7.3294954,7.6897645
41,2,7.2903924,7.2694187,7.6897645
41,3,6.9406424,7.274056,7.6897645
42,1,7.2903924,7.2725935,6.2775574
42,2,6.9406424,7.1825347,6.2775574
42,3,7.6349497,7.2074537,6.2775574
43,1,6.9406424,7.2758794,7.2903924
