h,method,sinr_mae,sinr_mse,corr,pred_std,true_std,pred_mean,true_mean
1,Last SINR,1.7678245306015015,5.724105358123779,-0.02578612044453621,1.670089602470398,1.6706336736679077,7.158164024353027,7.156768321990967
2,Last SINR,1.783852219581604,5.8180389404296875,-0.03494687005877495,1.670089602470398,1.6829521656036377,7.158164024353027,7.150169372558594
3,Last SINR,1.7796828746795654,5.4073052406311035,0.0379156693816185,1.670089602470398,1.6825817823410034,7.158164024353027,7.147367477416992
4,Last SINR,1.7652695178985596,5.4917216300964355,0.02293110080063343,1.670089602470398,1.6826512813568115,7.158164024353027,7.148758888244629
5,Last SINR,1.7487125396728516,5.4983439445495605,0.020380429923534393,1.670089602470398,1.6803200244903564,7.158164024353027,7.1510467529296875
6,Last SINR,1.8060194253921509,5.8565802574157715,-0.03853178396821022,1.670089602470398,1.6881868839263916,7.158164024353027,7.146717548370361
7,Last SINR,1.7228970527648926,5.484079360961914,0.027244582772254944,1.670089602470398,1.687690258026123,7.158164024353027,7.145357608795166
8,Last SINR,1.7814565896987915,5.696564197540283,-0.010339008644223213,1.670089602470398,1.6878702640533447,7.158164024353027,7.145156383514404
9,Last SINR,1.7473684549331665,5.449306488037109,0.03343741595745087,1.670089602470398,1.6877397298812866,7.158164024353027,7.146273136138916
10,Last SINR,1.8110706806182861,5.795328617095947,-0.028048837557435036,1.670089602470398,1.6875640153884888,7.158164024353027,7.14605712890625
1,History Mean,1.2858167886734009,2.9705209732055664,-0.0035424306988716125,0.41779330372810364,1.6706336736679077,7.153684616088867,7.156768321990967
2,History Mean,1.2992497682571411,3.0372352600097656,-0.02157699689269066,0.41779330372810364,1.6829521656036377,7.153684616088867,7.150169372558594
3,History Mean,1.2966101169586182,3.035456657409668,-0.02118302881717682,0.41779330372810364,1.6825817823410034,7.153684616088867,7.147367477416992
4,History Mean,1.2986035346984863,3.05426025390625,-0.03440195322036743,0.41779330372810364,1.6826512813568115,7.153684616088867,7.148758888244629
5,History Mean,1.302285075187683,3.0672318935394287,-0.04928332567214966,0.41779330372810364,1.6803200244903564,7.153684616088867,7.1510467529296875
6,History Mean,1.3040529489517212,3.0936896800994873,-0.04899587482213974,0.41779330372810364,1.6881868839263916,7.153684616088867,7.146717548370361
7,History Mean,1.3024613857269287,3.090056896209717,-0.04760820418596268,0.41779330372810364,1.687690258026123,7.153684616088867,7.145357608795166
8,History Mean,1.303090214729309,3.0906593799591064,-0.04759605601429939,0.41779330372810364,1.6878702640533447,7.153684616088867,7.145156383514404
9,History Mean,1.2999845743179321,3.0981805324554443,-0.05325990170240402,0.41779330372810364,1.6877397298812866,7.153684616088867,7.146273136138916
10,History Mean,1.3013933897018433,3.1063315868377686,-0.059466104954481125,0.41779330372810364,1.6875640153884888,7.153684616088867,7.14605712890625
1,Train Mean,1.2374287843704224,2.7930986881256104,,4.76837158203125e-07,1.6706336736679077,7.111151695251465,7.156768321990967
2,Train Mean,1.2437628507614136,2.8338510990142822,,4.76837158203125e-07,1.6829521656036377,7.111151695251465,7.150169372558594
3,Train Mean,1.2432295083999634,2.8323941230773926,,4.76837158203125e-07,1.6825817823410034,7.111151695251465,7.147367477416992
4,Train Mean,1.2434778213500977,2.832731008529663,,4.76837158203125e-07,1.6826512813568115,7.111151695251465,7.148758888244629
5,Train Mean,1.2411904335021973,2.825068473815918,,4.76837158203125e-07,1.6803200244903564,7.111151695251465,7.1510467529296875
6,Train Mean,1.2455189228057861,2.851240873336792,,4.76837158203125e-07,1.6881868839263916,7.111151695251465,7.146717548370361
7,Train Mean,1.24418306350708,2.8494696617126465,,4.76837158203125e-07,1.687690258026123,7.111151695251465,7.145357608795166
8,Train Mean,1.2443851232528687,2.8500635623931885,,4.76837158203125e-07,1.6878702640533447,7.111151695251465,7.145156383514404
9,Train Mean,1.2440513372421265,2.8496999740600586,,4.76837158203125e-07,1.6877397298812866,7.111151695251465,7.146273136138916
10,Train Mean,1.2438355684280396,2.8490920066833496,,4.76837158203125e-07,1.6875640153884888,7.111151695251465,7.14605712890625
1,LSTM,1.2078360319137573,2.8235433101654053,0.014634409919381142,0.04722698777914047,1.6706336736679077,7.337346076965332,7.156768321990967
2,LSTM,1.2140007019042969,2.8619964122772217,0.017494387924671173,0.048949483782052994,1.6829521656036377,7.323829174041748,7.150169372558594
3,LSTM,1.212282657623291,2.8757002353668213,0.016182411462068558,0.044509053230285645,1.6825817823410034,7.359649658203125,7.147367477416992
4,LSTM,1.2129709720611572,2.860900640487671,0.03253574296832085,0.05026155337691307,1.6826512813568115,7.329206943511963,7.148758888244629
5,LSTM,1.2121013402938843,2.843844175338745,0.035486143082380295,0.056310947984457016,1.6803200244903564,7.3056840896606445,7.1510467529296875
6,LSTM,1.2164182662963867,2.8822479248046875,0.0005311757558956742,0.04000237584114075,1.6881868839263916,7.322059154510498,7.146717548370361
7,LSTM,1.218316674232483,2.8654866218566895,0.02085006982088089,0.08056472986936569,1.687690258026123,7.2732954025268555,7.145357608795166
8,LSTM,1.2155342102050781,2.8722310066223145,0.03096151538193226,0.0450194887816906,1.6878702640533447,7.30642032623291,7.145156383514404
9,LSTM,1.214444637298584,2.8728578090667725,0.04665697365999222,0.03666558116674423,1.6877397298812866,7.316047668457031,7.146273136138916
10,LSTM,1.2129970788955688,2.883713722229004,0.04701809585094452,0.04016977548599243,1.6875640153884888,7.347556114196777,7.14605712890625
