config_id,val_mae,epochs_ran,hidden_dim,num_layers,dropout,lr,weight_decay,residual,loss,beta
0,1.236517071723938,82,16,1,0.0,0.001,0.0001,False,smooth_l1,0.25
1,1.2373113632202148,24,32,1,0.0,0.001,0.0001,False,smooth_l1,0.25
2,1.2368850708007812,38,64,1,0.0,0.001,0.0001,False,smooth_l1,0.25
3,1.237113356590271,23,32,2,0.1,0.001,0.0001,False,smooth_l1,0.25
4,1.2360531091690063,51,64,2,0.1,0.001,0.0001,False,smooth_l1,0.25
5,1.2371621131896973,68,32,1,0.0,0.0003,0.0001,False,smooth_l1,0.25
6,1.2371058464050293,29,64,1,0.0,0.0003,0.0001,False,smooth_l1,0.25
7,1.2373543977737427,68,32,1,0.0,0.001,0.0001,True,smooth_l1,0.25
8,1.2371176481246948,45,64,1,0.0,0.001,0.0001,True,smooth_l1,0.25
9,1.2379260063171387,60,32,2,0.1,0.001,0.0001,True,smooth_l1,0.25
10,1.2375928163528442,68,64,2,0.1,0.001,0.0001,True,smooth_l1,0.25
11,1.2370115518569946,50,64,1,0.0,0.0003,0.0001,True,smooth_l1,0.25
12,1.2373390197753906,97,8,1,0.0,0.001,0.0,False,smooth_l1,0.25
13,1.236679196357727,51,128,1,0.0,0.001,1e-05,False,smooth_l1,0.25
14,1.237175464630127,32,128,1,0.0,0.0003,1e-05,False,smooth_l1,0.25
15,1.2385839223861694,28,128,1,0.0,0.001,1e-05,True,smooth_l1,0.25
16,1.2365057468414307,36,128,2,0.0,0.001,1e-05,False,smooth_l1,0.25
17,1.2371437549591064,69,128,2,0.1,0.001,1e-05,True,smooth_l1,0.25
18,1.2364025115966797,42,128,3,0.1,0.001,1e-05,False,smooth_l1,0.25
19,1.2371066808700562,67,128,3,0.1,0.0003,1e-05,True,smooth_l1,0.25
20,1.2373522520065308,50,256,1,0.0,0.0003,1e-05,False,smooth_l1,0.25
21,1.2368544340133667,57,256,2,0.1,0.0003,1e-05,False,smooth_l1,0.25
22,1.237322449684143,56,256,2,0.2,0.0003,0.0001,True,smooth_l1,0.25
23,1.2363835573196411,38,64,3,0.1,0.001,0.0001,False,smooth_l1,0.25
24,1.237362027168274,90,64,3,0.2,0.0003,0.0001,True,smooth_l1,0.25
25,1.2361538410186768,67,32,2,0.2,0.001,0.001,False,smooth_l1,0.25
26,1.2361555099487305,45,64,2,0.3,0.001,0.001,False,smooth_l1,0.25
27,1.2440255880355835,22,64,1,0.0,0.001,0.0,False,mse,
28,1.2427905797958374,25,128,1,0.0,0.001,1e-05,False,mse,
29,1.2426283359527588,40,128,2,0.1,0.0003,1e-05,False,mse,
30,1.236563801765442,46,64,1,0.0,0.001,0.0,False,l1,
31,1.2381037473678589,45,128,2,0.1,0.001,1e-05,True,l1,
