window,h,true,lstm,last_sinr
0,1,7.240207,7.378347,7.1865463
0,2,8.737161,7.36384,7.1865463
0,3,6.5537634,7.387365,7.1865463
1,1,8.737161,7.3724947,7.240207
1,2,6.5537634,7.361042,7.240207
1,3,4.321047,7.3876743,7.240207
2,1,6.5537634,7.345582,8.737161
2,2,4.321047,7.3421674,8.737161
2,3,6.1979494,7.3853664,8.737161
3,1,4.321047,7.3689437,6.5537634
3,2,6.1979494,7.3580375,6.5537634
3,3,8.425387,7.37599,6.5537634
4,1,6.1979494,7.4175553,4.321047
4,2,8.425387,7.385339,4.321047
4,3,5.73828,7.377427,4.321047
5,1,8.425387,7.396184,6.1979494
5,2,5.73828,7.372904,6.1979494
5,3,6.403908,7.396067,6.1979494
6,1,5.73828,7.3546424,8.425387
6,2,6.403908,7.354612,8.425387
6,3,8.624588,7.400333,8.425387
7,1,6.403908,7.388,5.73828
7,2,8.624588,7.376297,5.73828
7,3,6.9389524,7.390072,5.73828
8,1,8.624588,7.3888845,6.403908
8,2,6.9389524,7.3753467,6.403908
8,3,7.371309,7.3943825,6.403908
9,1,6.9389524,7.354734,8.624588
9,2,7.371309,7.3564577,8.624588
9,3,8.800191,7.3963637,8.624588
10,1,7.371309,7.3717856,6.9389524
10,2,8.800191,7.365582,6.9389524
10,3,0.26303503,7.385842,6.9389524
11,1,8.800191,7.3706756,7.371309
11,2,0.26303503,7.3616133,7.371309
11,3,7.9176416,7.384797,7.371309
12,1,0.26303503,7.346366,8.800191
12,2,7.9176416,7.339329,8.800191
12,3,10.287617,7.3812146,8.800191
13,1,7.9176416,7.463432,0.26303503
13,2,10.287617,7.4194107,0.26303503
13,3,7.7977314,7.3675323,0.26303503
14,1,10.287617,7.379098,7.9176416
14,2,7.7977314,7.367941,7.9176416
14,3,6.6123796,7.404978,7.9176416
15,1,7.7977314,7.3233037,10.287617
15,2,6.6123796,7.340962,10.287617
15,3,6.9413238,7.397539,10.287617
16,1,6.6123796,7.3452144,7.7977314
16,2,6.9413238,7.3462114,7.7977314
16,3,8.666145,7.3753405,7.7977314
17,1,6.9413238,7.369202,6.6123796
17,2,8.666145,7.356581,6.6123796
17,3,5.895788,7.3686037,6.6123796
18,1,8.666145,7.370754,6.9413238
18,2,5.895788,7.3535795,6.9413238
18,3,5.269019,7.3735867,6.9413238
19,1,5.895788,7.340807,8.666145
19,2,5.269019,7.326834,8.666145
19,3,6.760107,7.375009,8.666145
20,1,5.269019,7.3701224,5.895788
20,2,6.760107,7.3520517,5.895788
20,3,8.359557,7.3691936,5.895788
21,1,6.760107,7.396321,5.269019
21,2,8.359557,7.3677287,5.269019
21,3,7.667379,7.3775024,5.269019
22,1,8.359557,7.376704,6.760107
22,2,7.667379,7.359789,6.760107
22,3,8.980739,7.3921485,6.760107
23,1,7.667379,7.3448567,8.359557
23,2,8.980739,7.3477817,8.359557
23,3,5.5354304,7.3941445,8.359557
24,1,8.980739,7.3489933,7.667379
24,2,5.5354304,7.351602,7.667379
24,3,5.109353,7.3849387,7.667379
25,1,5.5354304,7.333256,8.980739
25,2,5.109353,7.3308034,8.980739
25,3,5.652489,7.375894,8.980739
26,1,5.109353,7.378908,5.5354304
26,2,5.652489,7.3638263,5.5354304
26,3,8.757663,7.3667216,5.5354304
27,1,5.652489,7.4070945,5.109353
27,2,8.757663,7.376863,5.109353
27,3,7.6897645,7.376985,5.109353
28,1,8.757663,7.4004354,5.652489
28,2,7.6897645,7.3740215,5.652489
28,3,6.2775574,7.3929677,5.652489
29,1,7.6897645,7.344338,8.757663
29,2,6.2775574,7.348718,8.757663
29,3,7.2903924,7.3990407,8.757663
30,1,6.2775574,7.350706,7.6897645
